brand,make,price,km,gearbox,doors,imported,kW,cm3,fuel,registered,color,aircon,damage,car_type,standard,drive,age,country
Nissan,Micra,2300,225689,M,2/3,0,55,1200.0,petrol,0,VAR,3,0,HB,4,F,16,Asian
VW,Passat,5400,281000,M,4/5,0,103,1986.0,diesel,1,BL,4,0,SW,4,F,12,German
VW,Golf 5,2950,201875,M,2/3,0,55,1400.0,petrol,0,BL,2,0,HB,4,F,16,German
Citroen,C5,4500,294700,M,4/5,1,80,1600.0,diesel,0,VAR,4,0,SW,4,F,11,French
Audi,A4,4900,188314,M,4/5,0,103,1968.0,diesel,0,GR,1,0,SW,4,F,14,German
Seat,Ibiza,2200,192000,M,2/3,0,74,1896.0,diesel,0,VAR,4,0,HB,3,F,18,EU
Škoda,Octavia,2710,244000,M,4/5,1,103,1968.0,diesel,1,WH,4,0,SW,4,F,13,EU
Opel,Astra,2100,241000,M,4/5,0,55,1698.0,diesel,1,GR,2,0,SDN,3,F,19,German
Opel,Zafira,1600,200000,M,4/5,0,75,1995.0,diesel,1,GR,2,0,HB,3,F,17,German
Mazda,6,2300,227000,M,4/5,0,85,1789.0,petrol,0,GR,2,0,SDN,3,B,18,Asian
Fiat,500,7200,77000,M,2/3,0,70,1289.0,diesel,1,VAR,2,0,CP,5,F,6,Italian
Renault,Megane,4850,103000,M,4/5,0,81,1600.0,petrol,1,WH,2,0,HB,4,F,10,French
Škoda,Fabia,3460,162420,M,4/5,1,77,1598.0,petrol,0,BL,4,0,SM,4,F,12,EU
Renault,Kadjar,13950,171000,M,4/5,0,81,1498.0,diesel,1,BL,4,0,SUV,6,F,3,French
VW,Passat,4990,202549,M,4/5,0,103,1998.0,diesel,1,BL,4,0,SW,4,F,11,German
Fiat,Doblo,2650,204000,M,4/5,0,77,1910.0,diesel,1,BL,2,0,VAN,3,F,15,Italian
Ford,Focus,3000,222000,M,4/5,0,66,1596.0,diesel,1,BL,4,0,HB,5,F,13,USA
Audi,Q5,20500,180000,A,4/5,0,140,1995.0,diesel,0,WH,4,0,SUV,6,4x4,5,German
Renault,Megane,1550,180000,M,4/5,0,88,1890.0,diesel,0,GR,4,0,HB,3,F,16,French
Opel,Astra,700,230000,M,4/5,0,55,1598.0,petrol,0,VAR,0,0,SW,2,F,23,German
